Year,Rank,MovieID,Gross
2024,1,rl1985118209,21662255
2024,2,rl1516732417,10402187
2024,3,rl945586177,7530471
2024,4,rl844660737,5352614
2024,5,rl2337374209,3749297
2024,6,rl2974318593,2917999
2024,7,rl1046577153,2350444
2024,8,rl1280016385,1876004
2024,9,rl22642689,1588897
2024,10,rl2254536705,1361657
2024,11,rl2001895425,1063386
2024,12,rl1246461953,1016329
2024,13,rl1533509633,1007661
2024,14,rl2120384513,882815
2024,15,rl2957541377,877730
2024,16,rl1011646465,799821
2024,17,rl1750237185,656562
2024,18,rl1263239169,626140
2024,19,rl3025633281,563420
2024,20,rl2975301633,509640
2024,21,rl1550286849,491342
2024,22,rl39419905,401968
2024,23,rl2137161729,339926
2024,24,rl2271313921,310675
2024,25,rl190152705,295244
2024,26,rl3813900289,264095
2024,27,rl56197121,247172
2024,28,rl4098785281,216884
2024,29,rl877559809,214272
2024,30,rl206929921,191962
2024,31,rl1028423681,182634
2024,32,rl2992078849,176084
2024,33,rl1614250753,175190
2024,34,rl4167139329,138226
2024,35,rl1767014401,136860
2024,36,rl894337025,133921
2024,37,rl358776833,130258
2024,38,rl223707137,124184
2024,39,rl23035905,119031
2024,40,rl661225473,110503
2024,41,rl1885503489,107806
2024,42,rl3008856065,97296
2024,43,rl1045200897,95245
2024,44,rl4115562497,88797
2024,45,rl3745939457,88226
2024,46,rl425164801,81462
2024,47,rl375554049,80110
2024,48,rl6258689,75950
2024,49,rl392331265,74368
2024,50,rl1567064065,65716
2024,51,rl3494281217,64980
2024,52,rl3511058433,61306
2024,53,rl2354151425,56182
2024,54,rl3343548417,53155
2024,55,rl1296793601,52490
2024,56,rl409567233,52032
2024,57,rl3326771201,51724
2024,58,rl1314422785,47089
2024,59,rl1902280705,46185
2024,60,rl1579647745,44492
2024,61,rl911114241,44174
2024,62,rl1583841281,38062
2024,63,rl1061978113,37591
2024,64,rl586449665,36390
2024,65,rl39813121,32705
2024,66,rl341999617,28811
2024,67,rl962363393,25891
2024,68,rl140673025,25847
2024,69,rl1331200001,22818
2024,70,rl4183916545,17385
2024,71,rl1783791617,16984
2024,72,rl157450241,16533
2024,73,rl1919057921,16026
2024,74,rl4200693761,13941
2024,75,rl676233217,13517
2024,76,rl4217470977,12245
2024,77,rl240484353,12084
2024,78,rl1453884161,11994
2024,79,rl72974337,11559
2024,80,rl89751553,11396
2024,81,rl426344449,7971
2024,82,rl979140609,7959
2024,83,rl1935835137,7239
2024,84,rl443121665,6582
2024,85,rl927891457,5910
2024,86,rl414876417,3894
2024,87,rl2789441537,3314
2024,88,rl3527835649,3311
2024,89,rl529629953,2357
2024,90,rl2694677249,2244
2024,91,rl3578167297,2198
2024,92,rl3573449473,1681
2024,93,rl1841791745,1675
2024,94,rl106528769,1088
2024,95,rl3015541505,780
2024,96,rl2772664321,622
2024,97,rl4234248193,549
2024,98,rl3680535297,199
2024,99,rl944603137,149
2024,100,rl3544612865,129
2023,1,rl972718849,19490980
2023,2,rl797999873,10884669
2023,3,rl989496065,5109674
2023,4,rl3481633537,4959093
2023,5,rl1603568385,4522073
2023,6,rl3852108545,4006145
2023,7,rl211911425,3901191
2023,8,rl3015541505,3684252
2023,9,rl1050116865,3499539
2023,10,rl529629953,3217638
2023,11,rl966492929,3023728
2023,12,rl497910529,2570517
2023,13,rl1151238913,2518565
2023,14,rl586449665,2506334
2023,15,rl3745939457,2441942
2023,16,rl1619034881,2411901
2023,17,rl2957541377,2291341
2023,18,rl3348333313,1867860
2023,19,rl1437106945,1746869
2023,20,rl3002368769,1595877
2023,21,rl1285063425,1589003
2023,22,rl2974318593,1503933
2023,23,rl228688641,1381158
2023,24,rl4070867713,1328177
2023,25,rl3834479361,1326674
2023,26,rl2946335489,1296037
2023,27,rl2559410945,1281898
2023,28,rl1320780545,1274607
2023,29,rl3299836673,1142925
2023,30,rl3835331329,1140609
2023,31,rl482116353,1132611
2023,32,rl2835120897,1033333
2023,33,rl1453884161,1021963
2023,34,rl1015448321,983264
2023,35,rl3032318721,961778
2023,36,rl1413578753,940988
2023,37,rl1470661377,930326
2023,38,rl4087644929,926458
2023,39,rl2793833217,906989
2023,40,rl2391769857,807232
2023,41,rl3635184385,789990
2023,42,rl2508751617,769640
2023,43,rl3942286081,678518
2023,44,rl1301840641,625627
2023,45,rl546341633,602722
2023,46,rl4104422145,577702
2023,47,rl3868689153,556801
2023,48,rl1006273281,552872
2023,49,rl3757998849,543884
2023,50,rl3333391105,530121
2023,51,rl2694677249,524229
2023,52,rl3851256577,512534
2023,53,rl2772664321,504199
2023,54,rl277971713,489282
2023,55,rl4202922753,471861
2023,56,rl2075165441,450552
2023,57,rl2326823681,436818
2023,58,rl850100993,406570
2023,59,rl4186145537,403718
2023,60,rl3959063297,402006
2023,61,rl3028976385,395723
2023,62,rl2985591553,375032
2023,63,rl1119060737,371545
2023,64,rl3494281217,364514
2023,65,rl1318617857,350170
2023,66,rl294748929,349276
2023,67,rl1246461953,344038
2023,68,rl1135837953,329817
2023,69,rl2491974401,328821
2023,70,rl1263239169,325154
2023,71,rl2795733761,325043
2023,72,rl4236477185,320317
2023,73,rl2408547073,318747
2023,74,rl1236894465,286861
2023,75,rl1706459905,278428
2023,76,rl1280016385,269871
2023,77,rl3975840513,267464
2023,78,rl1023050497,266849
2023,79,rl2789441537,256743
2023,80,rl3511058433,251502
2023,81,rl1430355969,251213
2023,82,rl1335395073,250647
2023,83,rl3506340609,244095
2023,84,rl1032225537,235659
2023,85,rl2810610433,224305
2023,86,rl563118849,222542
2023,87,rl3885794049,200159
2023,88,rl883655425,200037
2023,89,rl1447133185,194779
2023,90,rl1152615169,188998
2023,91,rl1039827713,182821
2023,92,rl653689601,181296
2023,93,rl77890305,174778
2023,94,rl94667521,172859
2023,95,rl965903105,170983
2023,96,rl2812510977,167710
2023,97,rl866878209,166340
2023,98,rl2806218753,159379
2023,99,rl3045753601,153397
2023,100,rl3986457345,152545
2023,101,rl3419964929,150025
2023,102,rl3634135809,147558
2023,103,rl670466817,136115
2023,104,rl4219699969,134842
2023,105,rl2525528833,131859
2023,106,rl1219003137,130038
2023,107,rl3229975297,128599
2023,108,rl1131184897,127334
2023,109,rl1509393153,125212
2023,110,rl1049002753,116223
2023,111,rl3527835649,111417
2023,112,rl3523117825,111237
2023,113,rl579896065,108451
2023,114,rl2711454465,102989
2023,115,rl1635812097,102225
2023,116,rl3578167297,100382
2023,117,rl2868675329,99387
2023,118,rl2575729409,98452
2023,119,rl2968814337,98131
2023,120,rl917209857,97855
2023,121,rl933987073,95820
2023,122,rl1102676737,95707
2023,123,rl1168016129,94300
2023,124,rl1435861761,94264
2023,125,rl418808577,88898
2023,126,rl3651961601,87250
2023,127,rl642023425,87067
2023,128,rl3544612865,83803
2023,129,rl3350168321,82654
2023,130,rl1042907905,80161
2023,131,rl983270145,79996
2023,132,rl3573449473,76577
2023,133,rl3885662977,75976
2023,134,rl900432641,75553
2023,135,rl1287226113,74595
2023,136,rl1169392385,74420
2023,137,rl730825473,73625
2023,138,rl2560852737,71662
2023,139,rl407142401,70512
2023,140,rl1235780353,67759
2023,141,rl1403028225,65520
2023,142,rl3556672257,61178
2023,143,rl1369473793,60726
2023,144,rl4137976577,59762
2023,145,rl3539895041,58849
2023,146,rl1452638977,58615
2023,147,rl440696833,56028
2023,148,rl3246752513,55418
2023,149,rl1386251009,55288
2023,150,rl3561390081,51702
2023,151,rl4009394945,51481
2023,152,rl3868885761,50657
2023,153,rl2851898113,50419
2023,154,rl3885466369,50269
2023,155,rl2885452545,49632
2023,156,rl2091942657,47724
2023,157,rl950960897,46862
2023,158,rl1469416193,45552
2023,159,rl3049095937,45063
2023,160,rl1252557569,43949
2023,161,rl532448001,43725
2023,162,rl3668738817,43711
2023,163,rl3741221633,42201
2023,164,rl2542306049,41883
2023,165,rl949125889,41705
2023,166,rl2156888833,40221
2023,167,rl2644673281,40220
2023,168,rl1217757953,38548
2023,169,rl3992617729,38471
2023,170,rl3634004737,36895
2023,171,rl4026172161,36699
2023,172,rl3316613889,36618
2023,173,rl3459941121,36092
2023,174,rl311526145,35933
2023,175,rl3650913025,35079
2023,176,rl1652589313,33927
2023,177,rl328303361,33704
2023,178,rl515670785,33123
2023,179,rl1526170369,32920
2023,180,rl658800641,32510
2023,181,rl435585793,31839
2023,182,rl2558952193,30591
2023,183,rl603226881,30267
2023,184,rl2902229761,29890
2023,185,rl2108719873,28371
2023,186,rl423919617,27649
2023,187,rl2125497089,26612
2023,188,rl280789761,26072
2023,189,rl4121199361,25874
2023,190,rl452363009,25855
2023,191,rl1269334785,24891
2023,192,rl3607003905,22041
2023,193,rl457474049,21012
2023,194,rl1304003329,20425
2023,195,rl3590226689,19880
2023,196,rl3633808129,17626
2023,197,rl1184793345,17399
2023,198,rl3868033793,17014
2023,199,rl3685516033,17003
2023,200,rl1056604929,16976
2022,1,rl2915926785,8095995
2022,2,rl586449665,7671044
2022,3,rl79921921,7278603
2022,4,rl3486286593,4542678
2022,5,rl2110292737,4164201
2022,6,rl2983625473,3411585
2022,7,rl1221165825,3178781
2022,8,rl893354753,2956808
2022,9,rl4209476353,2826725
2022,10,rl1127187201,2569119
2022,11,rl1742045953,2436380
2022,12,rl1374454529,2101640
2022,13,rl2800583425,2095829
2022,14,rl2720826113,2044874
2022,15,rl3828515585,1933693
2022,16,rl1273332481,1932000
2022,17,rl332628737,1893096
2022,18,rl3990913793,1854898
