MovieID,Movie,Title_Summary,Country_of_origin,Language,Distributor,Release_Date,MPAA,Running_Time,Genres,Rating,Votes,Theaters,Budget,Total_Gross,Domestic,Worldwide,Image,IMDb_url
rl1985118209,Mai,"Restlessly haunted by the past, Mai is greeted by a new dawn when she reluctantly befriends the neighborhood ladies' man. But when her yesterday catches up to her today, what will become of her tomorrow?",Vietnam,Vietnamese,CJ EntertainmentSee full company information,"Feb 10, 2024",Not Supplied,2 hr 11 min,Drama-Romance,6.8,529,11129,0,21662255,0,21714524,"https://m.media-amazon.com/images/M/MV5BMjAwMGEwNTgtMWJmOC00MDQ5LTljMzYtMmE0YmE3OWM3NzEwXkEyXkFqcGdeQXVyMTAyNDY2OTAy._V1_SY139_CR1,0,92,139_.jpg",https://imdb.com/title/tt31174028?ref_=mojo_rl_summary&rf=mojo_rl_summary
rl1516732417,Face Off 7: One Wish,"This depicts Mrs. Hai, a 73-year-old single mother raising five children. Unexpected events unveil hidden secrets, testing familial bonds and exploring themes of sacrifice and redemption.",Vietnam,Vietnamese,Not Supplied,"Apr 24, 2024",Not Supplied,2 hr 18 min,Drama,6.8,110,12515,0,10953161,0,10953161,"https://m.media-amazon.com/images/M/MV5BYTdjNDdkMTktMjY4NS00MzM2LTk5ZDQtYTQzZTcwNzVmNzQzXkEyXkFqcGdeQXVyMTAwODg0ODk4._V1_SY139_CR9,0,92,139_.jpg",https://imdb.com/title/tt32229497?ref_=mojo_rl_summary&rf=mojo_rl_summary
rl945586177,Exhuma,The process of excavating an ominous grave unleashes dreadful consequences buried underneath.,South Korea,Korean,Galaxy Studio,"Mar 13, 2024",Not Supplied,2 hr 14 min,Horror-Mystery-Thriller,7.1,5500,11123,0,8344259,2262667,97143427,"https://m.media-amazon.com/images/M/MV5BMzczMmQ0NTItM2JkZi00MTRhLTg5OGMtZWEyZTE2ZDgwM2FjXkEyXkFqcGdeQXVyMTU1MDczNjU1._V1_SY139_CR2,0,92,139_.jpg",https://imdb.com/title/tt27802490?ref_=mojo_rl_summary&rf=mojo_rl_summary
rl844660737,Kung Fu Panda 4,"After Po is tapped to become the Spiritual Leader of the Valley of Peace, he needs to find and train a new Dragon Warrior, while a wicked sorceress plans to re-summon all the master villains whom Po has vanquished to the spirit realm.",United States-China,Mandarin-Chinese-English,Galaxy Studio,"Mar 8, 2024",PG,1 hr 34 min,Action-Adventure-Animation-Comedy-Family-Fantasy,6.3,36000,9718,0,5352614,188618430,520778430,"https://m.media-amazon.com/images/M/MV5BZDY0YzI0OTctYjVhYy00MTVhLWE0NTgtYTRmYTBmOTE3YTViXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_SX92_CR0,0,92,139_.jpg",https://imdb.com/title/tt21692408?ref_=mojo_rl_summary&rf=mojo_rl_summary
rl2337374209,Gap Lai Chi Bau,,Vietnam,Vietnamese,Not Supplied,"Feb 2, 2024",Not Supplied,1 hr 54 min,Comedy-Romance,5.6,19,2628,0,3749297,0,3749297,"https://m.media-amazon.com/images/M/MV5BMGNlMjI5ZDItZDdjZS00NjlkLTk1ZGYtZmZmZGU5MDYyZmM2XkEyXkFqcGdeQXVyMzUzOTU2NTg@._V1_SY139_CR1,0,92,139_.jpg",https://imdb.com/title/tt31180892?ref_=mojo_rl_summary&rf=mojo_rl_summary
rl2974318593,Quy Cau,The return of Nam and his girlfriend Xuan brings countless troubles to the family. He gradually discovers the broken relationships of the family members.,Vietnam,Vietnamese,Galaxy Studio,"Dec 22, 2023",Not Supplied,1 hr 39 min,Horror,6.6,89,4382,0,4421932,0,4421932,"https://m.media-amazon.com/images/M/MV5BNzJlNWYyZjctMDgwYi00ZWIwLWJjNzItODMzNGNlODRmZGFkXkEyXkFqcGdeQXVyNDc0Njc1NTY@._V1_SY139_CR0,0,92,139_.jpg",https://imdb.com/title/tt30611573?ref_=mojo_rl_summary&rf=mojo_rl_summary
rl1046577153,Godzilla x Kong: The New Empire,"Two ancient titans, Godzilla and Kong, clash in an epic battle as humans unravel their intertwined origins and connection to Skull Island's mysteries.",United States-Australia,English,Not Supplied,"Mar 28, 2024",PG-13,1 hr 55 min,Action-Adventure-Fantasy-Sci-Fi-Thriller,6.5,42000,7601,0,5524135,188401059,547501059,"https://m.media-amazon.com/images/M/MV5BY2QwOGE2NGQtMWQwNi00M2IzLThlNWItYWMzNGQ5YWNiZDA4XkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_SY139_CR0,0,92,139_.jpg",https://imdb.com/title/tt14539740?ref_=mojo_rl_summary&rf=mojo_rl_summary
rl1280016385,Death Whisperer,"After Yak, the elder brother returned to his hometown, he must find a way to save his younger sister from a bizarre illness that is causing her to behave differently.",Thailand,Thai,CJ EntertainmentSee full company information,"Dec 27, 2023",Not Supplied,2 hr,Horror,5.9,1300,3591,0,2241292,0,2608477,"https://m.media-amazon.com/images/M/MV5BNWQzY2JhMmQtZjQzMy00MjY1LWI1NDQtZWQxZGJhOWJlMTgwXkEyXkFqcGdeQXVyNTkzNjEwMjI@._V1_SY139_CR9,0,92,139_.jpg",https://imdb.com/title/tt29609422?ref_=mojo_rl_summary&rf=mojo_rl_summary
rl22642689,Dune: Part Two,Paul Atreides unites with Chani and the Fremen while seeking revenge against the conspirators who destroyed his family.,United States-Canada-United Arab Emirates-Hungary-Italy-New Zealand-Jordan-Gambia,English,Not Supplied,"Mar 1, 2024",PG-13,2 hr 46 min,Action-Adventure-Drama-Sci-Fi,8.7,391000,2865,0,1588897,281391888,708491888,"https://m.media-amazon.com/images/M/MV5BN2QyZGU4ZDctOWMzMy00NTc5LThlOGQtODhmNDI1NmY5YzAwXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_SY139_CR1,0,92,139_.jpg",https://imdb.com/title/tt15239678?ref_=mojo_rl_summary&rf=mojo_rl_summary
rl2254536705,18×2 Beyond Youthful Days,"Ami, a Japanese backpacker, and Jimmy work together at a KTV. They bond over work and adventures, but Ami leaves suddenly. Eighteen years later, Jimmy finds a postcard from Ami, sparking a journey to Japan to find closure and reconnect.",Taiwan-Japan,Japanese-Mandarin,Lotte Entertainment,"Apr 5, 2024",Not Supplied,2 hr 3 min,Romance,7,212,5065,0,1361657,0,1749593,"https://m.media-amazon.com/images/M/MV5BMTlhOTMxOGYtZDA1Yi00ZjYwLWJmNDktODM5MmI2ZTgyYmVjXkEyXkFqcGdeQXVyNTg5NjQxMjc@._V1_SY139_CR2,0,92,139_.jpg",https://imdb.com/title/tt31039829?ref_=mojo_rl_summary&rf=mojo_rl_summary
