MovieID,Date,Calendar_Week,Rank,Compare_LW,Theaters,Change,To_Date,Weekend,Weekend_Gross
rl1985118209,Feb 9-11,2024W06,1,0.0,6784,0,2055973,1,2055973.0
rl1985118209,Feb 16-18,2024W07,1,14.22,13,-6771,13270246,2,4979775.0
rl1985118209,Feb 23-25,2024W08,1,-5.46,11129,11116,18956539,3,2261023.0
rl1985118209,Mar 1-3,2024W09,1,-0.62,7190,-3939,21007739,4,859056.0
rl1985118209,Mar 8-10,2024W10,2,-0.44,3939,-3251,21950339,5,481120.0
rl1985118209,Mar 15-17,2024W11,4,-8.24,878,-3061,22140202,6,84668.0
rl1985118209,Mar 22-24,2024W12,7,-5.57,461,-417,22184037,7,37526.0
rl1985118209,Mar 29-31,2024W13,6,-6.29,140,-321,22174200,8,13923.0
rl1985118209,Apr 5-7,2024W14,12,-4.48,108,-32,22067641,9,7689.0
rl1985118209,Apr 12-14,2024W15,16,-7.25,23,-85,22014070,10,2114.0
rl1985118209,Apr 19-21,2024W16,19,-2.55,21,-2,21662255,11,1575.0
rl1516732417,Apr 26-28,2024W17,1,0.0,11758,0,3201885,1,2650911.0
rl1516732417,May 3-5,2024W18,1,0.56,12515,757,10953161,2,2798764.0
rl945586177,Mar 15-17,2024W11,1,0.0,11123,0,3457703,1,2643915.0
rl945586177,Mar 22-24,2024W12,1,-4.49,9952,-1171,6611268,2,1457988.0
rl945586177,Mar 29-31,2024W13,1,-6.63,4109,-5843,7766585,3,491042.0
rl945586177,Apr 5-7,2024W14,2,-5.25,2413,-1696,8169559,4,233010.0
rl945586177,Apr 12-14,2024W15,3,-5.94,1245,-1168,8331429,5,94673.0
rl945586177,Apr 19-21,2024W16,6,-6.26,573,-672,8305902,6,35440.0
rl945586177,Apr 26-28,2024W17,11,-8.59,38,-535,8359422,7,4999.0
rl945586177,May 3-5,2024W18,14,-6.83,18,-20,8344259,8,1586.0
rl844660737,Mar 8-10,2024W10,1,0.0,9718,0,2198296,1,2198296.0
rl844660737,Mar 15-17,2024W11,2,-5.26,5523,-4195,3881801,2,1041903.0
rl844660737,Mar 22-24,2024W12,2,-4.53,4037,-1486,4684354,3,570423.0
rl844660737,Mar 29-31,2024W13,2,-6.54,209,-3828,4448761,4,197339.0
rl844660737,Apr 5-7,2024W14,5,-3.79,183,-26,4587498,5,122561.0
rl844660737,Apr 12-14,2024W15,4,-2.81,897,714,5285492,6,88085.0
rl844660737,Apr 19-21,2024W16,8,-7.37,66,-831,4735888,7,23124.0
rl844660737,Apr 26-28,2024W17,8,-2.69,24,-42,4756914,8,16914.0
rl844660737,May 3-5,2024W18,11,-8.24,26,2,5352614,9,2981.0
rl2337374209,Feb 2-4,2024W05,1,0.0,6,0,364384,1,364384.0
rl2337374209,Feb 9-11,2024W06,2,1.59,2628,2622,785787,2,422410.0
rl2337374209,Feb 16-18,2024W07,2,4.91,2,-2626,2461476,3,629758.0
rl2337374209,Feb 23-25,2024W08,2,-4.24,2258,2256,3233855,4,362921.0
rl2337374209,Mar 1-3,2024W09,4,-5.52,1666,-592,3612730,5,162696.0
rl2337374209,Mar 8-10,2024W10,7,-6.99,638,-1028,3743758,6,48947.0
rl2337374209,Mar 15-17,2024W11,9,-9.52,63,-575,3749297,7,2356.0
rl2974318593,Dec 22-24,2023W51,3,0.0,2733,0,421509,1,421509.0
rl2974318593,Dec 29-31,2023W52,1,3.15,4382,1649,1503933,2,554087.0
rl2974318593,Jan 5-7,2024W01,1,-2.25,4270,-112,2508984,3,429174.0
rl2974318593,Jan 12-14,2024W02,1,0.74,3892,-378,3289392,4,460944.0
rl2974318593,Jan 19-21,2024W03,1,-5.58,3223,-669,3812121,5,203555.0
rl2974318593,Jan 26-28,2024W04,1,-3.04,3127,-96,3945609,6,141622.0
rl2974318593,Feb 2-4,2024W05,2,-3.99,1,-3126,4348547,7,85174.0
rl2974318593,Feb 9-11,2024W06,10,-9.08,182,181,4423619,8,7853.0
rl2974318593,Feb 16-18,2024W07,13,-2.78,51,-131,4421932,9,5672.0
rl1046577153,Apr 5-7,2024W14,1,0.0,7601,0,4157042,2,983351.0
rl1046577153,Apr 12-14,2024W15,1,-5.83,4166,-3435,4905506,3,409693.0
rl1046577153,Apr 19-21,2024W16,2,-5.94,2631,-1535,5309288,4,166505.0
rl1046577153,Apr 26-28,2024W17,6,-7.31,361,-2270,5431125,5,44806.0
rl1046577153,May 3-5,2024W18,7,-7.55,92,-269,5524135,6,10975.0
rl1280016385,Dec 29-31,2023W52,5,0.0,2198,0,365288,1,269871.0
rl1280016385,Jan 5-7,2024W01,2,4.55,3591,1393,1123802,2,392564.0
rl1280016385,Jan 12-14,2024W02,2,-3.82,2724,-867,1626430,3,242757.0
rl1280016385,Jan 19-21,2024W03,4,-5.85,1677,-1047,1879615,4,100849.0
rl1280016385,Jan 26-28,2024W04,4,-2.26,1489,-188,1953670,5,78066.0
rl1280016385,Feb 2-4,2024W05,3,-3.16,1,-1488,2190412,6,53414.0
rl1280016385,Feb 9-11,2024W06,11,-9.05,120,119,2241292,7,5085.0
rl22642689,Mar 1-3,2024W09,2,0.0,2865,0,388787,1,388787.0
rl22642689,Mar 8-10,2024W10,3,-0.01,1686,-1179,1085709,2,384728.0
rl22642689,Mar 15-17,2024W11,3,-6.42,657,-1029,1393770,3,137808.0
rl22642689,Mar 22-24,2024W12,3,-4.56,394,-263,1535100,4,75019.0
rl22642689,Mar 29-31,2024W13,4,-7.41,144,-250,1586729,5,19429.0
rl22642689,Apr 5-7,2024W14,9,-5.46,81,-63,1597028,6,8817.0
rl22642689,Apr 12-14,2024W15,13,-6.03,30,-51,1601164,7,3499.0
rl22642689,Apr 19-21,2024W16,15,-3.22,28,-2,1579538,8,2371.0
rl22642689,Apr 26-28,2024W17,13,-3.29,14,-14,1588897,9,1592.0
rl2254536705,Apr 5-7,2024W14,3,0.0,1644,0,222715,1,222715.0
rl2254536705,Apr 12-14,2024W15,2,0.73,5065,3421,944972,2,385336.0
rl2254536705,Apr 19-21,2024W16,4,-7.26,2339,-2726,1296951,3,105676.0
rl2254536705,Apr 26-28,2024W17,10,-9.17,119,-2220,1352855,4,8814.0
